name,set,rarity,id,bp,base,fire,air,earth,water,ability,Flavor Text,Unique,Artist
Allmageddon,DOP,Super Rare,87,5,10,10,10,10,10,,,1,"Edwin Nebres, David Curiel "
Ash Torrent,DOP,Uncommon,88,1,0,5,,5,,Challenge Power 15: Deal 10 Damage.,,,"Andrew Bradshaw, Etienne St.Laurent"
Coil Crush,DOP,Super Rare,89,3,5,,,,,Stat Check Power 75: Choose a Battlegear equipped to an opposing Creature and destroy it,,,"David Rodriguez, Edwin Nebres, David Curiel "
Degenervate,DOP,Rare,90,0,0,,,,0,"Water: Opposing Creature loses 25 Courage, Power, Wisdom, and Speed. Your engaged Creature loses Water.",,,"Andrew Bradshaw, Etienne St.Laurent, Edwin Nebres"
Delerium,DOP,Common,91,0,0,,,,,Stat Check Wisdom 50: Deal 5 damage.,Here's something for your lack of inspiration!,,"Andrew Bradshaw, Etienne St.Laurent"
Ektospasm,DOP,Common,92,0,0,,,,,Stat Check Power 50: Deal 5 damage.,This will fit you good!,,"Keith Conroy, Jimmy Tran"
Ember Swarm,DOP,Uncommon,93,1,5,5,,,,Fire: Opposing engaged Creature loses 25 Wisdom.,,,"Etienne St.Laurent, Edwin Nebres"
Evaporize,DOP,Rare,94,0,0,,,,,Challenge Courage 15: Heal 10 damage.,,,"Andrew Bradshaw, David Curiel "
Fearocity,DOP,Super Rare,95,2,5,,5,,,Stat Check Courage 75: Deal 10 damage.,,,"Andrew Bradshaw, David Curiel "
Flame Orb,DOP,Super Rare,96,2,5,5,,,,Stat Check Power 75: Deal 10 damage.,,,"Edwin Nebres, David Curiel"
Flash Kick,DOP,Uncommon,97,1,5,,,,,Look at the top two cards of your Location Deck. Put one of them on top of that deck and the other on the bottom.,,,"Andrew Bradshaw, David Curiel"
Flash Mend,DOP,Rare,98,0,0,,,,,Stat Check Wisdom 50: Heal 5 damage.,,,"Edwin Nebres, Rudy Nebres, Axer"
Flashwarp,DOP,Common,99,0,0,,,,,Challenge Power 15: Deal 10 damage.,,,Emilio Lopez
Frost Blight,DOP,Super Rare,100,2,5,,,,5,Stat Check Speed 75: Deal 10 damage.,,,"Jimmy Tran, Adrian Barrios"
Hail Storm,DOP,Super Rare,101,3,10,,5,,5,,,,"Andrew Bradshaw, Etienne St.Laurent"
Hive Call,DOP,Rare,102,0,0,,,,,"You may remove a Mugic counter from a Creature you control. If you do, activate Hive.",,,"David Curiel, Francis Barrios"
Incinerase,DOP,Rare,103,0,0,10,,,,Fire: Your engaged Creature loses Fire.,,,Emilio Lopez
Inferno Gust,DOP,Uncommon,104,1,0,5,5,,,Challenge Speed 15: Deal 10 damage.,,,"Adrian Barrios, David Curiel "
Iron Balls,DOP,Super Rare,105,1,0,,,,,Only Generic Mugic may be played.,,,"Edwin Nebres, Andrew Bradshaw, Etienne St.Laurent"
Lavalanche,DOP,Super Rare,106,3,10,5,,5,,,,,"Edwin Nebres, Andrew Bradshaw, Axer"
Lightning Burst,DOP,Uncommon,107,1,5,,5,,,Air: Opposing engaged Creature loses 25 Power.,,,"David Rodriguez, Edwin Nebres, Etienne St.Laurent"
Lucky Shot,DOP,Ultra Rare,108,4,0,,,,,"If your engaged Creature has lower Courage, Power, Wisdom, Speed and Energy than the opposing engaged Creature, deal 40 damage.
Unique",,1,"Edwin Nebres, Andrew Bradshaw, David Curiel "
Megaroar,DOP,Ultra Rare,109,4,0,,,,,"Stat Check Courage 70: Deal 10 damage.
Stat Check Power 70: Deal 10 damage.
Stat Check Wisdom 70: Deal 10 damage.
Stat Check Speed 70: Deal 10 damage.",,1,"David Rodriguez, Edwin Nebres, David Curiel "
Mirthquake,DOP,Rare,110,0,0,,,0,,Earth: The top card of your Location deck becomes the new active Location. Your engaged Creature loses Earth.,,,"Edwin Nebres, Andrew Bradshaw, David Curiel"
Paral-Eyes,DOP,Rare,111,2,10,,,,,Challenge Speed 15: Deal 10 damage.,,,"Jason Narvaez, Etienne St.Laurent"
Pebblestorm,DOP,Common,112,1,0,,5,5,,,,,"Edwin Nebres, David Curiel "
Power Pulse,DOP,Rare,113,2,10,,,,,Challenge Power 15: Deal 10 damage.,,,"Edwin Nebres, Etienne St.Laurent"
Quick Exit,DOP,Common,114,0,0,,,,,Challenge Wisdom 15: Deal 10 damage.,,,"Andrew Bradshaw, David Curiel"
Rip Tide,DOP,Uncommon,115,1,5,,,,5,Water: Opposing engaged Creature loses 25 Courage.,Watch out for the undertow!,,"Edwin Nebres, Andrew Bradshaw, David Curiel"
Rock Wave,DOP,Super Rare,116,2,5,,,5,,Stat Check Wisdom 75: Deal 10 damage.,Time to smash ashore.,,"Edwin Nebres, Etienne St.Laurent"
Rustoxic,DOP,Uncommon,117,1,0,,,5,5,Challenge Courage 15: Deal 10 damage.,,,"Andrew Bradshaw, David Curiel"
Shadow Strike,DOP,Common,118,0,0,,,,,Challenge Courage 15: Deal 10 damage.,Are you scared of the dark?,,"Andrew Bradshaw, David Curiel"
Shriek Shock,DOP,Common,119,0,0,,,,,Stat Check Speed 50: Deal 5 damage.,This will be my winning striek!,,"David Rodriguez, Edwin Nebres, Etienne St.Laurent"
Skeletal Strike,DOP,Rare,120,2,10,,,,,Challenge Courage 15: Deal 10 damage.,,,"David Rodriguez, Edwin Nebres, Teodoro Gonzalez"
Sleep Sting,DOP,Rare,121,2,10,,,,,Challenge Wisdom 15: Deal 10 damage.,,,"Adrian Barrios, Jimmy Tran"
Sludge Gush,DOP,Super Rare,122,3,10,,,5,5,,,,"Adrian Barrios, Etienne St.Laurent"
Spirit Gust,DOP,Common,123,0,0,,,,,Stat Check Courage 50: Deal 5 damage.,This will blow you away.,,"Andrew Bradshaw, Edwin Nebres, David Curiel "
Squeeze Play,DOP,Uncommon,124,1,5,,,,,Look at the top two cards of your Attack Deck. Put one of them on top of that deck and the other on the bottom.,,,"Andrew Bradshaw, Edwin Nebres, David Curiel "
Steam Rage,DOP,Common,125,1,0,5,,,5,,,,"Adrian Barrios, Etienne St.Laurent"
Telekinetic Bolt,DOP,Super Rare,126,3,10,,,,,"Challenge Courage 15, Challenge Wisdom 15: Deal 10 damage and heal 10 damage.",,,"Andrew Bradshaw, Edwin Nebres, Etienne St.Laurent"
Thunder Shout,DOP,Common,127,2,0,,10,10,,,,,"Andrew Bradshaw, Edwin Nebres, David Curiel "
Tornado Tackle,DOP,Rare,128,0,0,,0,,,Air: Both players shuffle their Attack Decks and Attack Discard piles together.,,,"David Rodriguez, Etienne St.Laurent"
Torrent of Flame,DOP,Common,129,2,0,10,,,10,,,,Emilio Lopez
Toxic Gust,DOP,Super Rare,130,3,10,5,5,,,,,,"Adrian Barrios, Etienne St.Laurent"
Unsanity,DOP,Uncommon,131,1,0,,5,,5,Challenge Wisdom 15: Deal 10 damage.,,,"Andrew Bradshaw, Edwin Nebres, Etienne St.Laurent"
Velocitrap,DOP,Common,132,0,0,,,,,Challenge Speed 15: Deal 10 damage.,Sorry for the run around.,,"David Curiel, Francis Barrios"
Vine Snare,DOP,Uncommon,133,1,5,,,5,,Earth: Opposing engaged Creature loses 25 Speed.,,,"Edwin Nebres, Etienne St.Laurent"
Viperlash,DOP,Rare,134,3,15,,,,,,,,"Andrew Bradshaw, David Curiel "
Windslash,DOP,Uncommon,135,1,5,,,,,Your opponent turns all face‐down Battlegear Cards they control face up.,,,"David Rodriguez, Emilio Lopez"
Accelerated Unity,ZOTH,Common,36,2,0,,,,,Deal 5 damage for each Tribe you control beyond the first.,,,"Andrew Bradshaw, Edwin Nebres, Anthony Washington"
Acid Wash,ZOTH,Super Rare,37,3,5,,,,10,"Challenge Wisdom 15: Deal 10 damage.
Water: Uninfect all engaged Creatures. Those Creatures cannot be Infected.",,,"Gus Vazquez, Etienne St.Laurent"
Danihilation,ZOTH,Uncommon,38,2,5,5,,,,"If the opposing engaged Creature is Danian, deal 10 damage.",,,"Chris Dibari, David Curiel"
Desiccate the Land,ZOTH,Uncommon,39,2,5,,5,0,5,"Earth: If an Attack Card named Desiccate the Land is in your Attack Discard pile, heal 10 damage.",,,"Chris Dibari, Anthony Washington"
Elementalist's Psy-Blast,ZOTH,Uncommon,40,1,0,,,,,Stat Check Wisdom 50: Deal 5 damage for each Elemental Type your engaged Creature has.,,,Emilio Lopez
Freeze Flash,ZOTH,Common,41,2,0,,10,10,0,Water: Opposing engaged Creature loses 25 Speed.,,,"Patrick Gagne, Etienne St.Laurent"
Gear Grind,ZOTH,Rare,42,1,5,,,,,Flip all face-up Battlegear face-down.,,,Imaginary Friends Studios
Granite Balls,ZOTH,Rare,43,2,5,,,5,,"If your engaged Creature is a Warrior, deal 10 damage unless the opposing engaged Creature pays a Mugic counter.",,,Imaginary Friends Studios
Hive-phoon,ZOTH,Common,44,1,0,,5,,5,"If your engaged Creature is Danian, it gains Earth.",,,"Gus Vazquez, Emilio Lopez"
Infight,ZOTH,Super Rare,45,4,20,,,,,"If opposing engaged Creature is Danian, Activate Hive. Hive may not be Deactivated.",,,"Emilio Lopez, Khary Randolph"
Malevolent Blast,ZOTH,Uncommon,46,0,0,,0,,,"Air: Your engaged Creature loses Air. Discard an Attack Card, then draw an Attack Card.",,,Imaginary Friends Studios
Mandiblor Might,ZOTH,Super Rare,47,1,0,,,,,Deal 5 damage for each Mandiblor you control adjacent to your engaged Creature.,,,"Khary Randolph, David Curiel"
Muge's Edge,ZOTH,Rare,48,0,0,,,,,"Your engaged Creature gains 10 Courage, Power, Wisdom and Speed.
If your engaged Creature is a Muge, deal 10 damage.",,,"Khary Randolph, Etienne St.Laurent"
Mugician Steal,ZOTH,Super Rare,49,0,0,,,,0,"Water: Your engaged Creature loses Water. Remove a Mugic counter from the opposing engaged Creature. If you do, put a Mugic counter on your engaged Creature.",,,"Andrew Bradshaw, Etienne St.Laurent"
Pillar Quake,ZOTH,Rare,50,1,5,,,5,,"If opposing engaged Creature is Danian, damage dealt by Pillar Quake is reduced to 0.",,,"Chris Dibari, David Curiel"
Reverberate,ZOTH,Common,51,0,0,,,,,"If an Attack Card named Reverberate is in your Attack Discard pile, deal 10 damage.",,,Emilio Lopez
Scout's Strike,ZOTH,Common,52,2,5,,,,,"Stat Check Speed 50: Deal 10 damage.
If your engaged Creature is a Scout, look at opposing player's Attack and Mugic hands.",,,"Patrick Gange, Etienne St.Laurent"
Strike of the Meek,ZOTH,Ultra Rare,53,5,0,,,,,"If your engaged Creature has 30 or less Scanned Energy, deal 50 damage.",,,"Chris Dibari, Etienne St.Laurent"
