name,set,rarity,id,ability,Flavor Text,Unique,Loyal,Legendary,Past,Shard,Artist
Aqua Shield,DOP,Super Rare,136,"Equipped Creature has an additional 5 Energy.
Sacrifice Aqua Shield: Heal 15 damage to target Creature.",,,,,,,"Andrew Bradshaw, David Curiel"
Cyclance,DOP,Rare,137,Sacrifice Cyclance: Equipped Creature gains Air until the end of combat.,,,,,,,"Andrew Bradshaw, Etienne St.Laurent"
Diamond of Vlaric,DOP,Rare,138,Sacrifice Diamond of Vlaric: Equipped Creature gains Earth until the end of combat.,,,,,,,"Edwin Nebres, Emilio Lopez"
Dragon Pulse,DOP,Common,139,Equipped Creature has an additional 25 Courage.,,,,,,,"Andrew Bradshaw, David Curiel"
Elixir Of Tenacity,DOP,Common,140,"Equipped Creature has an additional 10 Courage and an additional 10 Speed.
If equipped Creature has at least 50 Power, it has an additional 10 Energy.",,,,,,,"Aris Illopoulos, Edwin Nebres, David Curiel"
Flux Bauble,DOP,Rare,141,"At the beginning of combat, look at the top two cards of your Location Deck. Put one of them on top of that deck and the other on the bottom.",,,,,,,"Andrew Bradshaw, Emilio Lopez"
Gauntlets of Might,DOP,Common,142,Equipped Creature has an additional 25 Power.,,,,,,,"Aris Illopoulos, Edwin Nebres, Etienne St.Laurent"
Liquilizer,DOP,Rare,143,Sacrifice Liquilizer: Equipped Creature gains Water until the end of combat.,,,,,,,"Andrew Bradshaw, Etienne St.Laurent"
Mipedian Cactus,DOP,Super Rare,144,"Equipped Creature has an additional 15 Wisdom.
If equipped Creature is Mipedian, it has ""{{MC}}: This Creature can move to any space on the board as if it were adjacent.""",,,,,,,"Keith Conroy, Anthony Washington"
Mowercycle,DOP,Common,145,Equipped Creature has an additional 25 Speed.,,,,,,,"Anthony Washington, Edwin Nebres, Francis Barrios"
Mugician's Lyre,DOP,Common,146,Sacrifice Mugician's Lyre: Equipped Creature gains a Mugic counter.,,,,,,,"Andrew Bradshaw, Etienne St.Laurent, Edwin Nebres"
Nexus Fuse,DOP,Super Rare,147,"Equipped Creature has an additional 5 Energy.
Sacrifice Nexus Fuse: Deal 15 damage to target Creature.",,,,,,,"Edwin Nebres, Etienne St.Laurent, Andrew Bradshaw"
Orb of Foresight,DOP,Rare,148,"At the beginning of combat, look at the top three cards of your Attack Deck. Put one of them on top of that deck and the other two on the bottom in any order.",,,,,,,"Edwin Nebres, Etienne St.Laurent"
Phobia Mask,DOP,Uncommon,149,"Equipped Creature has ""Intimidate: Courage 10"" and ""Intimidate: Power 10"".",,,,,,,"Andrew Bradshaw, David Curiel, Edwin Nebres"
Prism of Vacuity,DOP,Uncommon,150,"Equipped Creature has an additional 5 Energy.
Sacrifice Prism of Vacuity: Target Creature loses 20 Power.",,,,,,,"Adrian Barrios, Etienne St.Laurent"
Pyroblaster,DOP,Rare,151,Sacrifice Pyroblaster: Equipped Creature gains Fire until the end of combat.,,,,,,,"Andrew Bradshaw, Etienne St.Laurent"
Ring of Na'arin,DOP,Common,152,"Equipped Creature has an additional 10 Power and an additional 10 Wisdom.
If equipped Creature has at least 50 Courage, it has an additional 10 Energy.",,,,,,,"Andrew Bradshaw, Etienne St.Laurent"
Riverland Star,DOP,Super Rare,153,"Equipped Creature has an additional 15 Courage.
If equipped Creature is OverWorld, it has ""When equipped Creature deals Water damage, heal 5 damage to that Creature.""",,,,,,,"Andrew Bradshaw, David Curiel, Edwin Nebres"
Skeletal Steed,DOP,Uncommon,154,"Equipped Creature has ""Range"" and ""Swift 1"".
This Battlegear begins the game face up.",,,,,,,Kozutoku matsumoto
Spectral Viewer,DOP,Rare,155,"When equipped Creature becomes engaged, Creatures engaged with it lose and cannot gain Invisibility.",,,,,,,"Andrew Bradshaw, Etienne St.Laurent, Edwin Nebres"
Staff of Wisdom,DOP,Common,156,Equipped Creature has an additional 25 Wisdom.,,,,,,,"Edwin Nebres, Emilio Lopez"
Stone Mail,DOP,Ultra Rare,157,"Equipped Creature cannot move.
Equipped Creature has an additional 50 Energy.
All damage dealt to equipped Creature is increased by 5.
Equipped Creature has no abilities and cannot gain abilities.",,,,,,,"Andrew Bradshaw, Jimmy Tran"
Talisman of the Mandiblor,DOP,Super Rare,158,"Equipped Creature has an additional 15 Speed.
If equipped Creature is Danian, it has ""Sacrifice this Creature: Return a Mandiblor from your general discard pile to play in any open space.""",,,,,,,"Rudy Nebres, Anthony Washington"
Torrent Krinth,DOP,Uncommon,159,"Equipped Creature has ""Water 5""",,,,,,,"Aris Illopoulos, Anthony Washington"
Torwegg,DOP,Uncommon,160,"Equipped Creature has ""Air 5""",,,,,,,"Edwin Nebres, Andrew Bradshaw, David Curiel"
Viledriver,DOP,Uncommon,161,"Equipped Creature has ""Fire 5""",,,,,,,"Andrew Bradshaw, Etienne St.Laurent"
Vlaric Shard,DOP,Uncommon,162,"Equipped Creature has ""Earth 5""",,,,,,,"Adrian Barrios, David Curiel"
Whepcrack,DOP,Super Rare,163,"Equipped Creature has an additional 15 Power.
If equipped Creature is UnderWorld, it has ""Fire 5"".",,,,,,,"Andrew Bradshaw, Etienne St.Laurent, Edwin Nebres"
Windstrider,DOP,Super Rare,164,"Equipped Creature has ""Swift 2"".
This Battlegear begins the game face-up.",,,,,,,"Andrew Bradshaw, David Curiel, Edwin Nebres"
Danian Carapace,ZOTH,Super Rare,56,"When equipped Creature deals damage to an Uninfected Creature, Infect that Creature.
If equipped Creature is destroyed while engaged, destroy any Battlegear equipped to opposing engaged Creature and equip Danian Carapace to opposing engaged Creature.",,,,,,,"Adrian Barrios, Anthony Washington"
Elementalist Pauldrons,ZOTH,Rare,57,"Equipped Creature has an additional 5 Energy and 15 Power.
If equipped Creature is an Elementalist, it has all Elemental Types your Creatures have.",,,,,,,Imaginary Friends Studios
Ice Cloak,ZOTH,Rare,58,"When Ice Cloak is flipped face up, if equipped Creature is engaged with a Creature with Fire, equipped Creature gains 10 Energy.
Equipped Creature has ""Fireproof 10.""",,,,,,,"Adrian Barrios, Etienne St.Laurent"
Mandiblor Crown,ZOTH,Common,59,"Equipped Creature has Creature Type Mandiblor in addition to its other types.
Equipped Creature has ""Hive: This creature has an additional 5 Energy.""",,,,,,,"Andrew Bradshaw, Etienne St.Laurent"
Scout's Monocular,ZOTH,Common,60,"Equipped Creature has an additional 5 Energy and 15 Wisdom.
If equipped Creature is a Scout, it has ""{{MC}}: Turn target face‐down Battlegear face‐up.""",,,,,,,"Andrew Bradshaw, Etienne St.Laurent"
Stingblade Prototype,ZOTH,Super Rare,61,"When Hive is activated, the next time an Attack would deal damage this turn, it deals 10 damage instead.",,1,,,,,Imaginary Friends Studios
Supercharged Alterant,ZOTH,Uncommon,62,"When Supercharged Alterant is flipped face up, choose a discipline. Equipped Creature gains 100 in the chosen discipline.",,,,,,,"Khary Randolph, Emilio Lopez"
Sword of Khy'at,ZOTH,Uncommon,63,"Equipped Creature has an additional 5 Energy and 15 Speed.
If equipped Creature is a Warrior, it has ""When this Creature deals 20 or more attack damage, deal 5 damage to target Creature.""",,,,,,,"Patrick Gagne, Etienne St.Laurent"
Telebracers,ZOTH,Super Rare,64,"When Telebracers is flipped face-up, the top card of your Location Deck becomes the active Location.",,,,,,,"Andrew Bradshaw, Etienne St.Laurent"
Ur-Shard,ZOTH,Ultra Rare,65,"Equipped Creature has ""Earth 5"" and ""Recklessness 5.""
If equipped Creature is destroyed while engaged, destroy any Battlegear equipped to opposing engaged Creature and equip Ur‐Shard to opposing engaged Creature.",,,,,,,"Khary Randolph, Etienne St.Laurent"
Challor,SS,Super Rare,66,"Equipped Creature may not be the target of abilities.
This Battlegear begins the game face-up.",,,,,,,HotShotsVFX
Entropy Modulator,SS,Common,68,Sacrifice Entropy Modulator: Target attack deals 15 damage.,,,,,,,HotShotsVFX
