name,set,rarity,id,tribe,courage,power,wisdom,speed,energy,mugic,elements,types,ability,flavor,brainwashed,unique,loyal,legendary,artist,gender
Arias,DOP,Common,1,OverWorld,55,65,30,55,50,0,Earth,Warrior,Support: Power 5,"If you think he looks angry now, you should have been at the nose-piercing!",,,,,,Male
Ario,DOP,Rare,72,Mipedian,50,55,25,55,40,1,Air,Royal Warrior,Invisibility: Strike 15,"Though not in his prime, Ario is always primed for battle.",,,,,,Male
Attacat,DOP,Uncommon,2,OverWorld,30,65,60,105,50,0,,Guardian Warrior,Swift 1,"""A ferocious warrior – when he finally gets up the nerve to battle.” – Intress",,,,,,Male
Barath Beyond,DOP,Super Rare,29,UnderWorld,40,85,15,65,60,1,Fire,Ethereal Warrior,"Fire 5
Intimidate: Power 10 
Recklessness 5",,,,,,,Male
Biondu,DOP,Common,73,Mipedian,45,40,30,35,40,1,Fire,Elite,Invisibility: Strike 15,"The Mipedian desert may be home, but Biondu covets the land beyond the sand.",,,,,,Male
Blazier,DOP,Super Rare,3,OverWorld,35,40,60,25,40,2,Earth,Scout,{{MC}}: Look at the top two cards of target player's Location Deck. Put one of them on top of that deck and the other on the bottom.,"This small, scrappy spy maps enemy territory for the OverWorld’s warriors.",,,,,,Male
Blügon,DOP,Rare,4,OverWorld,35,65,70,45,40,0,Water,Elementalist,Water 5,The Frozen - mysterious creatures who inhabit Glacier Plains - count Blügon as their friend.,,,,,,Male
Bodal,DOP,Common,5,OverWorld,40,40,80,60,45,1,,Caretaker,Support: Wisdom 5,The trouble with Bodal is that Bodal is troubled.,,,,,,Male
Borth-Majar,DOP,Super Rare,30,UnderWorld,45,85,85,40,45,1,,Commander,"Intimidate: Power 10
Intimidate: Wisdom 10",Brains or Brawn? One can’t decide ... and one doesn’t need to.,,,,,,Male
Brathe,DOP,Uncommon,74,Mipedian,55,45,65,55,55,1,,Elite,Invisibility: Strike 15,"Because invisible Mipedians cast no reflection, Brathe’s vanity is a dangerous thing.",,,,,,Male
Chaor,DOP,Ultra Rare,31,UnderWorld,95,90,70,60,70,3,Fire,Conqueror Warrior,{{MC}}{{MC}}{{MC}}: Negate target OverWorld Mugic or ability that targets Chaor.,"“We’ll take Kiru City, and the UnderWorld will rule all of Perim!” - Chaor",,1,1,,,Male
Crawsectus,DOP,Super Rare,6,OverWorld,60,45,40,25,50,0,"Earth, Water",Elementalist,Earth 5,His hard exterior hides an even harder interior.,,,,,,Male
Dardemus,DOP,Common,32,UnderWorld,60,75,20,65,50,0,Fire,Taskmaster,Intimidate: Courage 10,"This UnderWorld prison guard has a simple policy that works: whip first, whip fast, whip last.",,,,,,Male
Donmar,DOP,Rare,7,OverWorld,45,65,65,50,45,2,,Caretaker,{{MC}}: Heal 10 damage to target Creature.,Deciphering the Runic Grove’s mysterious markings is Donmar’s devotion... and the likely cause of his dementia.,,,,,,Male
