name,set,rarity,id,initiative,ability,falvor,unique,mirage,past,artist
Castle Bodhran,DOP,Super Rare,203,Power,"At the beginning of combat, each player may return a Mugic Card from their discard pile to their hand.","This strange stronghold is built in a style that might best be called ""bizzarechitecture.""",,,,
Castle Pillar,DOP,Ultra Rare,204,Courage,"At the beginning of combat, if an engaged creature has higher Wisdom than the opposing engaged creature, it gains a Mugic counter.",,1,,,
Cordac Falls,DOP,Common,205,OverWorld,"At the beginning of combat, engaged Creatures gains 5 Energy.",Cordac's teardrops plunge into the abyss with nary a splash or spray...,,,,
Cordac Falls Plungepool,DOP,Common,206,UnderWorld,"At the beginning of combat, deal 5 damage to engaged Creatures.","...and strike the lake miles below, exploding outwards into the fray.",,,,
Crystal Cave,DOP,Uncommon,207,Speed,"If an engaged Creature has lower Speed than the opposing engaged Creature, it deals 0 damage on its first attack.",The ancient Mugicians mined the hardest substance in all of Perim to protect their mystical melodies.,,,,
Doors of the Deepmines,DOP,Uncommon,208,Speed,"At the beginning of combat, Creatures with Water gain 10 Energy.","In a rare sign of solidarity, all four tribes guard the massive doors, hoping they never open again.",,,,
Dranakis Threshold,DOP,Super Rare,209,Courage,Mugic and abilities cannot be played.,The few who have survived utter nary a word of what lies beyond.,,,,
Everrain,DOP,Uncommon,210,Courage,"Water attacks deal an additional 5 damage.
Damage dealt by Earth attacks is reduced by 5.",Lake Ken-I-Po seeps through the UnderWorld ceiling in an unending reminder of the OverWorld's aqueous bounty.,,,,
Eye of the Maelstrom,DOP,Uncommon,211,Power,"When Eye of the Maelstrom becomes the active Location, each player discards a Mugic Card.","No wind, no sound - just madness.",,,,
Fear Valley,DOP,Uncommon,212,Wisdom,"At the beginning of combat, if an engaged Creature has lower Courage than the opposing engaged Creature, it loses 10 Energy.",One night here means a lifetime of nightmares.,,,,
Forest of Life,DOP,Common,213,Wisdom,"At the beginning of combat, if an engaged creature has higher Power than the opposing engaged creature, it gains 5 Energy.",A place of perpetuity: nothing is born or perishes within.,,,,
Gigantempopolis,DOP,Uncommon,214,Power,"At the beginning of combat, engaged OverWorld Creatures gain a Mugic counter.",The ancient beings who once dwelled here faded into oblivion - proving indisputably that size doesn’t matter.,,,,
