name,set,rarity,id,tribe,cost,ability,flavor,unique,past,artist
Canon of Casualty,DOP,Uncommon,183,UnderWorld,1,Deal 20 damage to target Creature.,"Even before the first three notes finish playing, OverWorlders scramble for the nearest shelter.",,,
Cascade Symphony,DOP,Rare,175,OverWorld,1,Target creature takes 5 less damage from Air or Fire attacks.,"""There is but one true language, and that is Mugic. All else is gibberish."" - Donmar",,,
Chorus of the Hive,DOP,Common,191,Danian,1,Activate Hive.,What repels some attracts others. Is preference learned or ingrained?,,,
Decrescendo,DOP,Common,165,Generic,1,Deal 5 damage to target Creature.,Minimalism to the max.,,,
Discord of Disarming,DOP,Uncommon,184,UnderWorld,1,Destroy target Battlegear.,"As his Windstrider decomposes into shrapnel, Bodal calculates that it will take 56.4 seconds before he splats on the ground.",,,
Ember Flourish,DOP,Uncommon,166,Generic,1,Heal 15 damage to target Creature with Air or Fire.,"No matter how many you carry with you, a song can never weigh you down.",,,
Fanfare of the Vanishing,DOP,Rare,197,Mipedian,1,"Target Creature gains ""Invisibility: Strike 15"".","When a melody becomes memory, it will never disappear.",,,
Fortissimo,DOP,Super Rare,167,Generic,1,"Target Creature gains 5 Courage, Power, Wisdom, Speed, and Energy.","Large is good. Larger is better. But really, really big is sometimes best.",,,
Geo Flourish,DOP,Uncommon,168,Generic,1,Heal 15 damage to target Creature with Earth or Water.,Protect the land and the land will protect you.,,,
Hymn of the Elements,DOP,Common,176,OverWorld,1,Target Creature gains an Elemental Type of your choice.,All elements stem from nature—as does the Cothica itself.,,,
Interlude of Consequence,DOP,Super Rare,169,Generic,1,Shuffle target player's Attack Deck or Location Deck.,"In desperate situations, turmoil and confusion can be one's allies.",,,
Melody of Malady,DOP,Super Rare,185,UnderWorld,1,Target engaged Creature gains 10 Energy. Deal 5 damage to another target engaged Creature.,"""A little bit more for me, a little bit less for you. Perfect!""
—Zalvar",,,
Melody of Mirage,DOP,Rare,198,Mipedian,1,Target attack deals 0 damage.,"Trust your ears, not your eyes.",,,
Minor Flourish,DOP,Common,170,Generic,1,Heal 10 damage to target Creature.,"""Anyone can imitate a melody, but to hear it in one's head for the very first time... that is a gift."" 
—Najarin",,,
Mugic Reprise,DOP,Ultra Rare,177,OverWorld,2,Return target Mugic Card from your discard pile to your hand.,Everything that was once lost will be found again.,,,
Notes of Neverwhere,DOP,Common,199,Mipedian,1,The active Location loses all abilities.,"""If you have all that you need, you are always home."" 
—From an ancient Mugician text",,,
OverWorld Aria,DOP,Super Rare,178,OverWorld,1,Heal 10 damage to target OverWorld Creature. Damage dealt by Fire attacks to that Creature is reduced by 5.,Mugicians choose host Creatures along tribe affiliations.,,,
Refrain of Denial,DOP,Super Rare,179,OverWorld,2,Negate target Mugic.,Cacophony signaled the beginning of the end of peace for the Mugicians.,,,
"Refrain of Denial, (OverWorld)",DOP,Super Rare,186,UnderWorld,1,Negate target Generic or OverWorld Mugic.,"""No such thing as Mugicians! Now fight!"" 
—Dardemus",,,
"Refrain of Denial, (OverWorld/UnderWorld)",DOP,Uncommon,192,Danian,1,Negate target OverWorld or UnderWorld Mugic.,"""The secret to using Mugic is to not try to solve its mysteries."" 
—Lore",,,
Song of Asperity,DOP,Rare,187,UnderWorld,1,"Target Creature gains ""Fire 5"" and ""Air 5"".","When anger is all-consuming, hatred is the gateway to a hideous power.",,,
Song of Deflection,DOP,Ultra Rare,200,Mipedian,3,Change the target of target Mugic or ability with a single target.,Beauty is in the ears of the beholder - even discordant notes sound harmonious in dire situations.,,,
Song of EmberNova,DOP,Rare,171,Generic,1,Deal 10 damage to target Creature with Air or Fire.,"Fire consumes air, suffocating the earth.",,,
Song of Focus,DOP,Uncommon,180,OverWorld,1,"Target Creature gains 10 Courage, Power, Wisdom, and Speed.",,,,
Song of Fury,DOP,Rare,188,UnderWorld,1,"Deal 10 damage to target Creature. Another target Creature gains ""Fire 5"".","""My legs or my Mugician? There is no choice. Cut them off!"" 
—Miklon",,,
